VFID,RAgas,DECgas,COreference,alphaCO,Mmol,Mmol_err_up,Mmol_err_down,r21,err_r21,tdep,tdep_err_up,tdep_err_down,HIreference,MHI,MHI_err_up,MHI_err_down,MH2_to_MHI,MH2_to_MHI_err_up,MH2_to_MHI_err_down,H2def,errH2def,HIdef,errHIdef,Separation,MH2,MH2_err_up,MH2_err_down,Mgas
VFID0172,176.1622292,67.9558639,AMIGA,,457088189.6148752,57136023.7018594,57136023.7018594,,,616595001.8614824,294226914.12674177,294226914.12674177,AMIGA,8.061323263590374,,,3.9689601315087266,-2.0,-2.0,0.0249021596463894,0.0542868102379064,0.3983365587833241,-1.0,0.0,8.66,0.9463157621846567,0.9463157621846567,8.757588775784644
VFID0173,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0174,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0175,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0176,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0177,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0178,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0179,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0180,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0182,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0183,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0184,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0185,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0186,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0187,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0189,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0190,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0191,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0193,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0194,171.9216625,66.5897833,AMIGA,,630957344.4801943,78869668.06002429,78869668.06002429,,,1230268770.8123837,587059873.8066734,587059873.8066734,AMIGA,8.581732640566562,8.084510248451974,7.964510248451973,1.6529790884916538,-1.0,-1.0,0.136002159646388,0.0542868102379064,0.346001870573513,0.1382171453835724,0.0,8.8,0.9555065076747264,0.9551026260568483,9.005466467334237
VFID0195,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0196,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0197,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0198,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0201,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0202,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0203,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0204,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0205,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0206,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0207,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0208,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0209,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0210,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0211,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0212,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0213,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0214,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0215,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0216,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0217,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0218,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0219,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0220,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0221,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0222,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0223,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0224,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0225,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0226,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0227,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0228,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0229,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0230,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0231,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0232,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0233,,,,,,,,,,,,,,,,,,,,,,,,,,,,
