VFID,objname,ra,dec,cutout_size,E_B_V_SandF,mean_E_B_V_SandF,stdev_E_B_V_SandF,max_E_B_V_SandF,min_E_B_V_SandF,AV_SandF,E_B_V_SFD,mean_E_B_V_SFD,stdev_E_B_V_SFD,max_E_B_V_SFD,min_E_B_V_SFD,AV_SFD,errmsg,A(FUV)_SandF,A(NUV)_SandF,A(G)_SandF,A(R)_SandF,A(Z)_SandF,A(W1)_SandF,A(W2)_SandF,A(W3)_SandF,A(W4)_SandF,A(FUV)_SFD,A(NUV)_SFD,A(G)_SFD,A(R)_SFD,A(Z)_SFD,A(W1)_SFD,A(W2)_SFD,A(W3)_SFD,A(W4)_SFD,A(FUV)_S16,A(NUV)_S16,A(G)_S16,A(R)_S16,A(Z)_S16,A(W1)_S16,A(W2)_S16,A(W3)_S16,A(W4)_S16
VFID6182,,182.04634,2.8783,2.0,0.0172,0.0172,0.0002,0.0175,0.017,0.0533,0.02,0.02,0.0002,0.0204,0.0198,0.062,,0.141728,0.14104,0.0552808,0.037238,0.0208292,0.0031648,0.0019436,0.00041452,0.00015652,0.1648,0.1639999999999999,0.06428,0.0433,0.02422,0.00368,0.00226,0.000482,0.000182,0.2,0.2,0.06428,0.0433,0.02422,0.00368,0.00226,0.000482,0.000182
VFID6185,,192.45932,2.85186,2.0,0.0299,0.028,0.0009,0.0299,0.0263,0.0926,0.0347,0.0326,0.0011,0.0347,0.0305,0.1076,,0.246376,0.2451799999999999,0.0960985999999999,0.0647335,0.0362089,0.0055016,0.0033787,0.00072059,0.00027209,0.285928,0.28454,0.1115258,0.0751255,0.0420217,0.0063848,0.0039211,0.00083627,0.00031577,0.2,0.2,0.1115258,0.0751255,0.0420217,0.0063848,0.0039211,0.00083627,0.00031577
VFID6247,,186.74369,2.4944,2.0,0.0153,0.0152,0.0003,0.0159,0.0146,0.0475,0.0178,0.0177,0.0004,0.0185,0.017,0.0552,,0.126072,0.12546,0.0491741999999999,0.0331245,0.0185283,0.0028152,0.0017289,0.00036873,0.00013923,0.146672,0.1459599999999999,0.0572092,0.038537,0.0215558,0.0032752,0.0020114,0.00042898,0.00016198,0.2,0.2,0.0572092,0.038537,0.0215558,0.0032752,0.0020114,0.00042898,0.00016198
VFID6306,,201.58257,2.10055,2.0,0.0233,0.0232,0.0002,0.0235,0.0228,0.0724,0.0271,0.027,0.0002,0.0273,0.0265,0.0841,,0.191992,0.19106,0.0748862,0.0504445,0.0282163,0.0042872,0.0026329,0.00056153,0.00021203,0.223304,0.2222199999999999,0.0870994,0.0586715,0.0328181,0.0049863999999999,0.0030623,0.0006531099999999,0.00024661,0.2,0.2,0.0870994,0.0586715,0.0328181,0.0049863999999999,0.0030623,0.0006531099999999,0.00024661
VFID6380,,215.86309,1.72626,2.0,0.0277,0.0276,0.0002,0.0279,0.0272,0.0859,0.0322,0.0321,0.0002,0.0324,0.0316,0.0999,,0.228248,0.2271399999999999,0.0890277999999999,0.0599704999999999,0.0335447,0.0050967999999999,0.0031301,0.0006675699999999,0.00025207,0.265328,0.26404,0.1034908,0.069713,0.0389942,0.0059248,0.0036386,0.00077602,0.00029302,0.2,0.2,0.1034908,0.069713,0.0389942,0.0059248,0.0036386,0.00077602,0.00029302
VFID6456,,192.66242,1.46437,2.0,0.0212,0.0207,0.001,0.0222,0.0188,0.0658,0.0247,0.0241,0.0011,0.0258,0.0218,0.0765,,0.174688,0.17384,0.0681368,0.045898,0.0256732,0.0039008,0.0023956,0.00051092,0.00019292,0.203528,0.2025399999999999,0.0793857999999999,0.0534755,0.0299117,0.0045448,0.0027911,0.00059527,0.00022477,0.2,0.2,0.0793857999999999,0.0534755,0.0299117,0.0045448,0.0027911,0.00059527,0.00022477
VFID6480,,193.33844,1.26912,2.0,0.017,0.017,0.0003,0.0177,0.0163,0.0526,0.0197,0.0197,0.0004,0.0206,0.0189,0.0611,,0.14008,0.1394,0.054638,0.036805,0.020587,0.003128,0.001921,0.0004097,0.0001547,0.162328,0.16154,0.0633157999999999,0.0426505,0.0238567,0.0036247999999999,0.0022261,0.0004747699999999,0.00017927,0.2,0.2,0.0633157999999999,0.0426505,0.0238567,0.0036247999999999,0.0022261,0.0004747699999999,0.00017927
VFID6643,,195.24434,-0.02757,2.0,0.0223,0.0222,0.0003,0.0228,0.0216,0.0691,0.0259,0.0258,0.0003,0.0265,0.0251,0.0804,,0.183752,0.18286,0.0716722,0.0482795,0.0270053,0.0041032,0.0025199,0.00053743,0.00020293,0.213416,0.2123799999999999,0.0832426,0.0560735,0.0313649,0.0047656,0.0029267,0.0006241899999999,0.00023569,0.2,0.2,0.0832426,0.0560735,0.0313649,0.0047656,0.0029267,0.0006241899999999,0.00023569
VFID6645,,166.45312,-0.03476,2.0,0.0494,0.0496,0.0014,0.0532,0.047,0.153,0.0574,0.0577,0.0016,0.0619,0.0546,0.1779,,0.407056,0.4050799999999999,0.1587715999999999,0.106951,0.0598234,0.0090896,0.0055822,0.00119054,0.00044954,0.472976,0.4706799999999999,0.1844836,0.124271,0.0695114,0.0105615999999999,0.0064862,0.00138334,0.00052234,0.2,0.2,0.1844836,0.124271,0.0695114,0.0105615999999999,0.0064862,0.00138334,0.00052234
VFID6673,,220.04795,-0.289,2.0,0.0337,0.0337,0.0002,0.034,0.0331,0.1044,0.0392,0.0392,0.0003,0.0395,0.0385,0.1214,,0.277688,0.27634,0.1083118,0.0729605,0.0408107,0.0062008,0.0038081,0.00081217,0.00030667,0.323008,0.3214399999999999,0.1259887999999999,0.084868,0.0474712,0.0072127999999999,0.0044296,0.0009447199999999,0.00035672,0.2,0.2,0.1259887999999999,0.084868,0.0474712,0.0072127999999999,0.0044296,0.0009447199999999,0.00035672
VFID6708,,189.82805,-0.53189,2.0,0.0192,0.0192,0.0005,0.0201,0.0182,0.0596,0.0224,0.0224,0.0006,0.0234,0.0211,0.0693,,0.158208,0.1574399999999999,0.0617087999999999,0.0415679999999999,0.0232512,0.0035327999999999,0.0021696,0.0004627199999999,0.0001747199999999,0.184576,0.1836799999999999,0.0719936,0.048496,0.0271264,0.0041216,0.0025312,0.00053984,0.00020384,0.2,0.2,0.0719936,0.048496,0.0271264,0.0041216,0.0025312,0.00053984,0.00020384
VFID6759,,180.09836,-1.10007,2.0,0.0228,0.0228,0.0003,0.0237,0.0224,0.0708,0.0265,0.0266,0.0003,0.0276,0.026,0.0823,,0.187872,0.18696,0.0732792,0.049362,0.0276108,0.0041952,0.0025764,0.00054948,0.00020748,0.21836,0.2172999999999999,0.085171,0.0573725,0.0320915,0.004876,0.0029945,0.0006386499999999,0.00024115,0.2,0.2,0.085171,0.0573725,0.0320915,0.004876,0.0029945,0.0006386499999999,0.00024115
VFID6761,,208.22691,-1.11462,2.0,0.0395,0.0396,0.0006,0.0405,0.0384,0.1224,0.0459,0.0461,0.0007,0.0471,0.0446,0.1424,,0.32548,0.3238999999999999,0.126953,0.0855175,0.0478345,0.007268,0.0044635,0.00095195,0.00035945,0.378216,0.37638,0.1475226,0.0993735,0.0555849,0.0084456,0.0051867,0.00110619,0.00041769,0.2,0.2,0.1475226,0.0993735,0.0555849,0.0084456,0.0051867,0.00110619,0.00041769
