VFID,RAdeg,DEdeg,HV,Vcosmic,Vmodel,HyperLeda,NED,PGC,NSAV0,NSAV1,AGC,CO,A100,redshift
1293,211.762422,50.72077,2166,2531,2531,PGC2380535,WISEA J140702.98+504314.6,2380535.0,43023.0,208212.0,,False,False,0.0084
1294,200.07744,50.72041,2486,2833,2833,UGC08386,UGC 08386,46530.0,68880.0,338091.0,,False,False,0.0094
1295,219.697338,50.71702,2204,2567,2567,PGC084252,SBS 1437+509,84252.0,43201.0,209161.0,,False,False,0.0086
1296,211.407699,50.70652,1890,2268,2268,PGC2380196,SBS 1403+509,2380196.0,43024.0,208219.0,,False,False,0.0076
1297,180.078783,50.6528,743,1199,984,UGC06992,UGC 06992,37832.0,160884.0,664836.0,,False,False,0.004
1298,135.383448,50.61559,712,771,964,PGC025347,MCG +09-15-079,25347.0,,623019.0,,False,False,0.0026
1299,169.25126,50.58478,844,1126,1126,PGC034439,CGCG 268-012,34439.0,32394.0,157843.0,,False,False,0.0038
1300,123.612416,50.57681,2348,2614,2614,PGC2376829,SDSS J081426.98+503436.7,2376829.0,9969.0,48962.0,,False,False,0.0087
1301,211.897923,50.54502,2037,2408,2408,PGC2376061,2MFGC 11448,2376061.0,69037.0,339234.0,,False,False,0.008
1302,181.391307,50.53884,749,760,993,NGC4088,NGC 4088,38302.0,140739.0,627750.0,,True,False,0.0025
1303,215.578497,50.50137,2221,2584,2584,NGC5602,NGC 5602,51340.0,144953.0,631628.0,,False,False,0.0086
1304,179.960302,50.49891,906,1220,1220,PGC2832102,SDSS J115950.81+502955.3,2832102.0,140583.0,627607.0,,False,False,0.0041
1305,254.657166,50.49067,3058,3395,3395,PGC059360,SBS 1657+505,59360.0,147554.0,633892.0,,False,False,0.0113
1306,182.768023,50.48496,778,1355,1035,NGC4157,NGC 4157,38795.0,140872.0,627869.0,,False,False,0.0045
1307,253.581315,50.47555,2895,3236,3236,PGC059232,SBS 1653+505,59232.0,147485.0,633830.0,,False,False,0.0108
