VFID,GALAXY,RA_MOMENT,DEC_MOMENT,FLUX_AP06_G,FLUX_UNCERT_AP06_G,FLUX_AP06_R,FLUX_UNCERT_AP06_R,FLUX_AP06_Z,FLUX_UNCERT_AP06_Z,FLUX_AP06_FUV,FLUX_UNCERT_AP06_FUV,FLUX_AP06_NUV,FLUX_UNCERT_AP06_NUV,FLUX_AP06_W1,FLUX_UNCERT_AP06_W1,FLUX_AP06_W2,FLUX_UNCERT_AP06_W2,FLUX_AP06_W3,FLUX_UNCERT_AP06_W3,FLUX_AP06_W4,FLUX_UNCERT_AP06_W4,70Flux_SMA_AP06,100Flux_SMA_AP06,160Flux_SMA_AP06,70Flux_AP06_err,100Flux_AP06_err,160Flux_AP06_err
VFID3156,UGC06023,163.5870912,27.23962507,21.512,1.076,33.331,1.667,45.403,2.27,1.854,0.093,3.655,0.183,30.308,1.515,18.678,0.934,92.414,4.621,147.735,7.387,,2142.09,2094.228,,107.104,104.711
VFID3174,NGC3629,170.1321687,26.96380924,29.672,1.484,40.649,2.032,50.563,2.528,4.753,0.238,6.633,0.332,26.258,1.313,15.337,0.767,42.665,2.133,68.194,3.71,,1108.216,1235.548,,55.411,61.777
VFID3221,PGC031387,158.9251081,26.12567981,4.984,0.249,7.408,0.37,9.684,0.484,0.687,0.034,0.951,0.048,5.422,0.271,3.111,0.156,8.912,0.446,14.639,1.52,,268.349,182.919,,13.417,9.146
VFID3253,NGC4747,192.9397396,25.77502084,41.729,2.086,68.67,3.434,100.575,5.029,1.707,0.085,3.19,0.16,69.845,3.492,39.194,1.96,103.073,5.154,223.492,11.175,,4037.522,4483.432,,201.876,224.172
VFID3300,UGC05588,155.2378972,25.36504484,10.02,0.501,15.579,0.779,21.14,1.057,1.232,0.062,1.84,0.092,14.381,0.719,9.052,0.453,53.692,2.685,64.347,3.217,0.737,,544.325,36.828,,27.216
VFID3459,NGC3437,163.149006,22.93445177,48.893,2.445,83.589,4.179,125.408,6.27,3.651,0.183,5.936,0.297,112.95,5.647,74.211,3.711,484.919,24.246,1028.594,51.43,,16896.242,13644.157,,844.812,682.208
VFID3502,UGC07321,184.3913092,22.5402897,17.23,0.861,26.711,1.336,38.005,1.9,1.018,0.051,2.367,0.118,22.865,1.143,13.383,0.669,16.086,1.267,16.276,6.139,,862.676,1045.316,,43.134,52.266
VFID3564,NGC3287,158.6969917,21.6481864,35.637,1.782,57.967,2.898,83.372,4.169,2.514,0.126,4.134,0.207,54.168,2.708,31.896,1.595,113.459,5.673,189.046,9.452,,4679.236,5760.253,,233.962,288.013
VFID3654,IC0700,172.3130309,20.5830731,9.189,0.459,12.381,0.619,15.308,0.765,1.642,0.082,2.242,0.112,7.684,0.384,4.535,0.227,8.993,0.65,37.446,3.091,0.256,,301.395,12.819,,15.07
VFID3757,NGC4561,189.0340102,19.32299303,28.108,1.405,38.638,1.932,38.812,1.941,5.725,0.286,7.391,0.37,22.907,1.145,13.071,0.654,27.153,1.358,72.077,3.614,,1321.896,1021.558,,66.095,51.078
VFID3822,IC3391,187.1132532,18.41500767,17.955,0.898,29.103,1.455,40.404,2.02,1.899,0.095,2.617,0.131,23.695,1.185,13.435,0.672,39.607,1.98,53.372,4.757,,1158.889,1522.159,,57.944,76.108
VFID3884,NGC5996,236.7448942,17.88409722,32.03,1.601,46.064,2.303,59.719,2.986,5.165,0.258,8.091,0.405,38.434,1.922,24.796,1.24,171.061,8.553,489.709,24.485,4.227,5626.491,4675.132,211.349,281.325,233.757
VFID3891,NGC3659,170.938245,17.81747658,25.689,1.284,38.834,1.942,53.415,2.671,,,4.669,0.233,34.34,1.717,20.399,1.02,99.468,4.973,142.063,7.103,,3250.958,3158.169,,162.548,157.908
VFID3958,NGC3370,161.7668641,17.27402077,50.525,2.526,78.15,3.907,108.812,5.441,6.175,0.309,8.423,0.421,74.786,3.739,47.274,2.364,255.216,12.761,408.24,20.412,,7369.245,7521.375,,368.462,376.069
VFID3961,NGC3592,168.6141881,17.2597688,9.554,0.478,17.084,0.854,27.344,1.367,0.244,0.012,0.509,0.025,18.2,0.91,10.698,0.535,26.27,1.313,29.122,2.379,,554.485,656.761,,27.724,32.838
VFID3966,NGC3686,171.9300389,17.22345366,99.366,4.968,167.926,8.396,253.107,12.655,4.27,0.214,11.248,0.562,152.136,7.607,91.014,4.551,314.303,15.715,558.013,27.901,,8456.423,9319.088,,422.821,465.954
VFID3979,NGC4450,187.1232347,17.08499911,251.991,12.6,502.587,25.129,839.021,41.951,0.642,0.047,3.893,0.195,538.737,26.937,293.51,14.676,150.639,7.532,232.564,11.628,,5793.52,7147.977,,289.676,357.399
VFID3980,NGC3684,171.7966734,17.03025968,55.511,2.776,87.266,4.363,123.297,6.165,3.725,0.186,8.468,0.423,78.281,3.914,46.56,2.328,209.116,10.456,278.894,13.945,,4325.224,4623.296,,216.261,231.165
VFID3985,NGC3691,172.0389167,16.92047895,21.342,1.067,32.632,1.632,43.493,2.175,2.616,0.131,3.787,0.189,24.254,1.213,13.472,0.674,39.94,1.997,53.707,3.114,,991.825,958.641,,49.591,47.932
VFID3993,NGC3681,171.6240775,16.86344586,53.788,2.689,96.489,4.824,150.403,7.52,2.721,0.136,4.308,0.215,86.243,4.312,47.304,2.365,75.421,3.771,72.642,4.089,,1204.261,1054.322,,60.213,52.716
VFID3994,NGC4498,187.9153853,16.85250037,45.551,2.278,71.009,3.55,97.111,4.856,3.879,0.194,6.507,0.325,54.559,2.728,32.647,1.632,95.806,4.79,132.768,6.638,,3350.882,4145.822,,167.544,207.291
VFID4016,NGC4502,188.0136279,16.68797299,7.948,0.397,11.865,0.593,15.461,0.773,0.847,0.042,1.435,0.072,7.308,0.365,3.381,0.169,7.902,0.461,9.52,2.227,,263.173,244.073,,13.159,12.204
VFID4029,NGC3655,170.7273289,16.59005144,48.991,2.45,87.166,4.358,132.226,6.611,1.806,0.09,4.947,0.247,102.831,5.142,66.572,3.329,495.405,24.77,765.962,38.298,,14705.452,12675.93,,735.273,633.796
VFID4046,NGC4383,186.3560066,16.46997966,42.427,2.121,69.903,3.495,98.886,4.944,3.455,0.173,4.563,0.228,69.983,3.499,43.708,2.185,282.821,14.141,976.263,48.813,10.241,,6995.591,512.028,,349.78
VFID4051,UGC07504,186.3400112,16.42974988,4.597,0.23,8.307,0.415,12.18,0.609,-0.007,0.002,0.084,0.004,5.518,0.276,2.847,0.142,-0.864,0.511,3.656,2.46,0.045,,3.245,2.26,,0.162
VFID4057,NGC4651,190.9274519,16.3937859,144.958,7.248,251.179,12.559,390.274,19.514,8.997,0.45,16.088,0.804,260.526,13.026,148.572,7.429,394.18,19.709,555.887,27.794,,12655.398,13205.644,,632.77,660.282
VFID4092,PGC038113,180.9000708,16.05537803,8.789,0.439,14.206,0.71,19.975,0.999,0.822,0.041,1.373,0.069,12.772,0.639,7.796,0.39,37.905,1.895,54.602,2.73,,925.593,741.481,,46.28,37.074
VFID4115,NGC4758,193.1840558,15.8481443,22.66,1.133,39.566,1.978,59.761,2.988,0.729,0.046,1.396,0.07,38.953,1.948,22.593,1.13,59.482,2.974,99.212,5.017,,2222.464,2677.359,,111.123,133.868
VFID4119,NGC4321,185.7285578,15.82325308,485.529,24.276,812.429,40.621,1252.227,62.611,24.992,1.25,51.403,2.57,786.809,39.34,460.376,23.019,1546.236,77.312,3184.096,159.205,23.346,42851.325,48798.56,1167.325,2142.566,2439.928
VFID4135,NGC4396,186.4967384,15.67458053,32.612,1.631,50.733,2.537,72.279,3.614,3.237,0.162,5.215,0.261,50.562,2.528,33.098,1.655,69.335,3.467,139.512,9.604,,3322.264,4388.735,,166.113,219.437
VFID4143,NGC4540,188.7113094,15.55203106,54.571,2.729,93.285,4.664,136.241,6.812,1.353,0.068,4.478,0.224,86.964,4.348,49.715,2.486,169.139,8.457,266.018,13.301,,4510.371,5589.094,,225.519,279.455
VFID4164,IC0800,188.4861625,15.35480683,17.022,0.851,28.237,1.412,41.11,2.055,0.812,0.041,1.998,0.1,22.413,1.121,12.896,0.645,36.411,1.821,54.214,3.562,,1007.654,1215.886,,50.383,60.794
VFID4165,NGC3800,175.0554973,15.34102712,32.453,1.623,58.944,2.947,95.605,4.78,,,,,74.429,3.721,46.897,2.345,260.229,13.011,433.022,21.651,5.37,8884.617,7888.699,268.51,444.231,394.435
VFID4168,NGC4237,184.2980517,15.32359131,59.436,2.972,112.803,5.64,186.353,9.318,1.514,0.076,3.726,0.186,131.062,6.553,76.596,3.83,236.281,11.814,325.395,16.27,3.043,,7865.906,152.159,,393.295
VFID4170,NGC4595,189.966865,15.29656918,35.699,1.785,53.235,2.662,71.706,3.585,2.06,0.103,4.859,0.243,41.451,2.073,25.753,1.288,75.601,3.78,90.187,4.509,,2220.707,2487.631,,111.035,124.382
VFID4177,NGC5954,233.6458615,15.20016477,21.239,1.062,34.775,1.739,50.139,2.507,1.53,0.076,3.062,0.153,37.443,1.872,24.805,1.24,171.38,8.569,381.566,19.078,2.944,4016.798,2910.296,147.204,200.84,145.515
VFID4179,NGC5953,233.6348861,15.19382505,56.041,2.802,99.952,4.998,149.332,7.467,1.906,0.095,4.691,0.235,113.986,5.699,72.813,3.641,532.407,26.62,1182.829,59.141,9.374,12920.595,9959.92,468.712,646.03,497.996
VFID4183,NGC4710,192.4117234,15.16590902,131.35,6.568,260.994,13.05,449.646,22.482,0.284,0.014,2.061,0.103,312.624,15.631,174.908,8.745,200.595,10.03,445.208,22.26,,13104.25,12955.886,,655.212,647.794
VFID4188,IC0797,187.9777973,15.12394866,19.061,0.953,30.079,1.504,40.379,2.019,1.836,0.092,2.927,0.146,22.992,1.15,13.878,0.694,53.569,2.678,55.845,3.596,,1538.406,1417.007,,76.92,70.85
VFID4194,NGC4419,186.7356113,15.03692535,95.247,4.762,193.605,9.68,342.866,17.143,-0.156,0.01,1.524,0.076,279.232,13.962,165.783,8.289,448.895,22.445,1331.991,66.6,,12061.569,10721.634,,603.078,536.082
VFID4203,IC3392,187.1801788,14.99938273,37.484,1.874,71.308,3.565,114.581,5.729,0.126,0.006,1.142,0.057,75.488,3.774,42.06,2.103,97.117,4.856,133.586,6.679,,3377.784,4090.899,,168.889,204.545
VFID4220,NGC3485,165.0103053,14.84178727,43.67,2.183,70.125,3.506,100.726,5.036,3.534,0.177,6.109,0.305,59.249,2.962,33.443,1.672,123.267,6.163,193.284,9.664,,1479.434,1710.142,,73.972,85.507
VFID4226,NGC3596,168.7756041,14.78684807,87.36,4.368,137.511,6.876,199.647,9.982,,,14.291,0.715,126.936,6.347,74.36,3.718,309.701,15.485,448.182,22.409,,5068.916,5744.091,,253.446,287.205
VFID4282,NGC4501,187.9963508,14.41953035,432.35,21.618,845.57,42.279,1443.268,72.163,12.074,0.604,24.346,1.217,1134.124,56.706,660.849,33.042,1483.928,74.196,2194.284,109.714,,65132.706,81503.591,,3256.635,4075.18
VFID4283,NGC4254,184.7065026,14.41672746,418.002,20.9,670.69,33.534,950.755,47.538,31.687,1.584,56.7,2.835,682.635,34.132,442.205,22.11,2558.384,127.919,4157.344,207.867,41.035,76561.12,81008.272,2051.735,3828.056,4050.414
VFID4291,NGC4633,190.6553087,14.35723258,16.545,0.827,25.956,1.298,35.585,1.779,1.517,0.076,2.638,0.132,19.467,0.973,10.104,0.505,26.316,1.316,59.52,4.144,,759.943,783.068,,37.997,39.153
VFID4311,NGC4866,194.8628228,14.17125572,86.851,4.343,177.632,8.882,317.678,15.884,0.564,0.053,1.45,0.073,211.785,10.589,113.89,5.694,37.996,1.9,21.833,6.768,,422.403,799.959,,21.12,39.998
VFID4321,IC0755,180.2931163,14.10479561,11.977,0.599,15.954,0.798,19.374,0.969,2.435,0.122,3.204,0.16,10.922,0.546,6.634,0.332,18.833,0.942,52.059,2.603,,900.488,627.938,,45.024,31.397
