Galaxy,Dist,n_Dist,log(D25),e_log(D25),COtrans,l_SCOD,SCOD,e_SCOD,fap,FWHM,e_FWHM,l_log(L'CO),log(L'CO),E_log(L'CO),e_log(L'CO),n_log(L'CO),l_r21,r21,e_r21,l_log(MH2),log(MH2),E_log(MH2),e_log(MH2)
NGC5701,26.40,a,1.30,0.04,2-->1,<,3.71,0.00,0.11,0,0,<,7.16,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00
NGC5725,23.77,a,0.98,0.05,1-->0,,6.49,1.09,0.64,0,0,,7.14,0.07,0.08,,,0.00,0.09,,7.78,0.07,0.08
NGC5725,23.77,a,0.98,0.05,2-->1,,5.16,0.94,0.37,0,0,,6.68,0.07,0.09,,,0.00,0.00,,0.00,0.00,0.00
IC1048,29.29,a,1.32,0.03,1-->0,,36.33,2.18,0.45,0,0,,8.23,0.03,0.03,,,0.00,0.04,,8.86,0.03,0.03
IC1048,29.29,a,1.32,0.03,2-->1,,44.96,2.11,0.26,0,0,,7.96,0.02,0.02,,,0.00,0.00,,0.00,0.00,0.00
NGC5740,28.69,a,1.43,0.02,1-->0,,75.98,2.40,0.26,0,0,,8.77,0.01,0.01,,,0.00,0.04,,9.40,0.01,0.01
NGC5740,28.69,a,1.43,0.02,2-->1,,118.04,2.49,0.10,0,0,,8.77,0.01,0.01,,,0.00,0.00,,0.00,0.00,0.00
NGC5746,29.58,a,1.86,0.02,1-->0,,22.20,2.59,0.16,0,0,,8.48,0.05,0.05,,,0.00,0.17,,9.11,0.05,0.05
NGC5746,29.58,a,1.86,0.02,2-->1,,47.38,5.21,0.08,0,0,,8.50,0.05,0.05,,,0.00,0.00,,0.00,0.00,0.00
UGC09556,54.85,a,0.91,0.05,1-->0,,1.41,0.54,0.75,0,0,,7.14,0.14,0.21,b,<,0.00,0.00,,7.78,0.14,0.21
UGC09556,54.85,a,0.91,0.05,2-->1,<,7.41,0.00,0.50,0,0,<,7.43,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00
NGC5777,45.71,a,1.47,0.03,1-->0,,43.13,2.89,0.35,0,0,,8.80,0.03,0.03,,,0.00,0.05,,9.44,0.03,0.03
NGC5777,45.71,a,1.47,0.03,2-->1,,46.17,4.02,0.19,0,0,,8.49,0.04,0.04,,,0.00,0.00,,0.00,0.00,0.00
IC1066,32.19,a,1.08,0.04,1-->0,,14.70,1.66,0.54,0,0,,7.84,0.05,0.05,,,0.00,0.06,,8.47,0.05,0.05
IC1066,32.19,a,1.08,0.04,2-->1,,9.70,1.43,0.28,0,0,,7.34,0.06,0.07,,,0.00,0.00,,0.00,0.00,0.00
IC1067,24.67,,1.26,0.06,1-->0,,4.98,1.18,0.31,0,0,,7.38,0.09,0.12,,,0.00,0.16,,8.01,0.09,0.12
IC1067,24.67,,1.26,0.06,2-->1,,3.23,1.05,0.12,0,0,,6.99,0.12,0.17,,,0.00,0.00,,0.00,0.00,0.00
NGC5806,24.89,a,1.48,0.02,1-->0,,75.02,2.89,0.21,0,0,,8.73,0.02,0.02,,,0.00,0.04,,9.36,0.02,0.02
NGC5806,24.89,a,1.48,0.02,2-->1,,93.33,3.06,0.08,0,0,,8.65,0.01,0.01,,,0.00,0.00,,0.00,0.00,0.00
UGC09661,19.68,,1.02,0.04,1-->0,,10.23,1.13,0.51,0,0,,7.28,0.05,0.05,,<,0.00,0.00,,7.91,0.05,0.05
UGC09661,19.68,,1.02,0.04,2-->1,<,9.26,0.00,0.25,0,0,<,6.95,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00
PGC2586382,40.10,,0.91,0.06,1-->0,,5.54,1.86,0.76,0,0,,7.46,0.13,0.18,b,,0.00,0.26,,8.02,0.06,0.08
PGC2586382,40.10,,0.91,0.06,2-->1,,10.73,1.72,0.54,0,0,,7.29,0.06,0.08,,,0.00,0.00,,0.00,0.00,0.00
PGC054037,27.78,,0.76,0.12,1-->0,,6.88,1.43,0.83,0,0,,7.19,0.08,0.10,,,0.00,0.08,,7.83,0.08,0.10
PGC054037,27.78,,0.76,0.12,2-->1,,6.09,1.08,0.61,0,0,,6.67,0.07,0.08,,,0.00,0.00,,0.00,0.00,0.00
NGC5894,39.53,a,1.47,0.05,1-->0,,34.95,2.07,0.34,0,0,,8.59,0.02,0.03,,,0.00,0.05,,9.22,0.02,0.03
NGC5894,39.53,a,1.47,0.05,2-->1,,16.79,3.33,0.19,0,0,,7.93,0.08,0.10,,,0.00,0.00,,0.00,0.00,0.00
PGC054346,39.22,,0.92,0.16,1-->0,,11.33,2.39,0.60,0,0,,7.85,0.08,0.10,,,0.00,0.11,,8.48,0.08,0.10
PGC054346,39.22,,0.92,0.16,2-->1,,10.70,1.54,0.32,0,0,,7.50,0.06,0.07,,,0.00,0.00,,0.00,0.00,0.00
UGC09837,41.66,a,1.23,0.06,1-->0,,2.53,0.61,0.31,0,0,,7.53,0.09,0.12,,<,0.00,0.00,,8.17,0.09,0.12
UGC09837,41.66,a,1.23,0.06,2-->1,<,5.56,0.00,0.12,0,0,<,7.68,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00
NGC5951,26.84,a,1.48,0.03,1-->0,,15.04,1.76,0.33,0,0,,7.91,0.05,0.05,,,0.00,0.06,,8.54,0.05,0.05
NGC5951,26.84,a,1.48,0.03,2-->1,,8.26,1.53,0.16,0,0,,7.34,0.07,0.09,,,0.00,0.00,,0.00,0.00,0.00
NGC5953,23.10,a,1.17,0.04,1-->0,,193.24,2.46,0.41,0,0,,8.79,0.01,0.01,,,0.00,0.02,,9.42,0.01,0.01
NGC5953,23.10,a,1.17,0.04,2-->1,,355.60,2.34,0.18,0,0,,8.81,0.01,0.01,,,0.00,0.00,,0.00,0.00,0.00
NGC5954,32.48,a,1.01,0.08,1-->0,,96.77,2.51,0.63,0,0,,8.60,0.01,0.01,,,0.00,0.02,,9.23,0.01,0.01
NGC5954,32.48,a,1.01,0.08,2-->1,,167.63,1.86,0.35,0,0,,8.49,0.01,0.01,,,0.00,0.00,,0.00,0.00,0.00
NGC5956,29.12,,1.17,0.06,1-->0,,19.44,1.87,0.34,0,0,,8.07,0.04,0.04,,,0.00,0.10,,8.70,0.04,0.04
NGC5956,29.12,,1.17,0.06,2-->1,,27.28,1.72,0.14,0,0,,8.00,0.03,0.03,,,0.00,0.00,,0.00,0.00,0.00
NGC5957,28.21,,1.39,0.06,1-->0,,17.69,1.74,0.19,0,0,,8.25,0.04,0.04,,,0.00,0.13,,8.89,0.04,0.04
NGC5957,28.21,,1.39,0.06,2-->1,,27.14,1.57,0.07,0,0,,8.29,0.02,0.03,,,0.00,0.00,,0.00,0.00,0.00
NGC5981,50.90,a,1.44,0.05,1-->0,,29.66,2.21,0.37,0,0,,8.71,0.03,0.03,,,0.00,0.07,,9.34,0.03,0.03
